session_id,session_length,num_clicks,category_diversity,total_spent,bounce,click_sequence,exit_page,converted
88,6,4,2,167,0,"[3, 3, 4, 4]",3,1
89,1,1,1,50,1,[3],3,0
90,1,1,1,38,1,[4],4,0
91,5,4,3,191,0,"[3, 4, 2, 3]",4,1
92,1,1,1,38,1,[1],1,0
94,13,9,3,400,0,"[4, 1, 2, 4, 4, 4, 1, 2, 1]",2,1
95,2,2,1,96,0,"[3, 3]",3,1
96,5,5,3,242,0,"[2, 2, 1, 3, 2]",1,0
97,1,1,1,43,1,[4],4,0
98,1,1,1,28,1,[3],3,0
99,9,9,2,419,0,"[2, 4, 4, 2, 2, 4, 2, 2, 2]",2,1
100,11,10,3,375,0,"[1, 3, 3, 3, 1, 4, 4, 1, 4, 3]",3,1
101,1,1,1,57,1,[2],2,0
102,4,4,3,167,0,"[3, 1, 3, 4]",3,1
103,3,3,1,114,0,"[1, 1, 1]",1,0
104,3,3,1,181,0,"[2, 2, 2]",2,1
105,2,1,1,67,1,[2],2,0
106,2,2,1,103,0,"[4, 4]",4,1
107,26,20,4,743,0,"[4, 4, 4, 4, 4, 4, 3, 4, 4, 1, 4, 1, 1, 3, 4, 4, 2, 1, 2, 4]",4,1
108,5,2,1,76,0,"[4, 4]",4,1
109,5,3,2,143,0,"[1, 2, 1]",2,1
110,8,4,1,162,0,"[4, 4, 4, 4]",4,1
111,1,1,1,62,1,[2],2,0
112,8,6,3,266,0,"[2, 1, 2, 4, 2, 2]",1,0
113,9,7,3,343,0,"[3, 2, 2, 3, 2, 1, 2]",3,1
114,3,2,1,76,0,"[1, 1]",1,0
115,2,2,2,71,0,"[3, 1]",1,0
116,2,2,1,100,0,"[1, 1]",1,0
118,1,1,1,38,1,[1],1,0
119,10,8,3,376,0,"[1, 1, 3, 2, 1, 1, 3, 1]",1,0
120,7,6,2,323,0,"[2, 2, 2, 2, 1, 1]",2,1
121,8,8,3,294,0,"[1, 2, 3, 1, 3, 1, 2, 1]",1,0
122,3,3,2,119,0,"[1, 4, 1]",4,1
123,8,7,2,251,0,"[3, 4, 3, 4, 4, 4, 4]",3,1
124,7,7,4,308,0,"[1, 3, 1, 2, 4, 1, 4]",3,1
125,37,34,4,1574,0,"[1, 2, 1, 3, 1, 1, 1, 1, 2, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 2]",4,1
126,2,2,1,76,0,"[3, 3]",3,1
127,6,5,2,202,0,"[1, 1, 1, 3, 3]",1,0
128,1,1,1,28,1,[3],3,0
130,5,4,1,157,0,"[4, 4, 4, 4]",4,1
131,3,2,1,81,0,"[3, 3]",3,1
132,9,5,3,242,0,"[1, 2, 1, 3, 3]",3,1
133,4,4,1,224,0,"[2, 2, 2, 2]",2,1
134,1,1,1,43,1,[1],1,0
135,4,4,2,147,0,"[4, 4, 3, 4]",3,1
136,1,1,1,62,1,[1],1,0
137,3,3,1,124,0,"[1, 1, 1]",1,0
138,14,12,2,561,0,"[1, 1, 1, 1, 4, 1, 1, 4, 1, 4, 1, 1]",1,0
139,6,6,3,310,0,"[4, 4, 4, 2, 1, 1]",4,1
140,3,2,2,71,0,"[4, 1]",4,1
141,4,4,2,137,0,"[1, 3, 1, 3]",3,1
142,2,1,1,28,1,[4],4,0
143,4,4,2,181,0,"[4, 4, 3, 3]",4,1
144,3,2,1,76,0,"[4, 4]",4,1
145,4,3,2,184,0,"[3, 1, 1]",3,1
146,19,12,3,592,0,"[2, 1, 2, 1, 1, 1, 3, 1, 3, 1, 3, 3]",1,0
147,1,1,1,38,1,[4],4,0
148,6,5,1,248,0,"[2, 2, 2, 2, 2]",2,1
149,4,4,2,162,0,"[1, 4, 4, 1]",4,1
151,1,1,1,23,1,[3],3,0
152,4,4,2,162,0,"[3, 4, 4, 3]",3,1
153,6,6,4,224,0,"[3, 3, 4, 2, 1, 3]",3,1
154,3,3,2,162,0,"[1, 2, 2]",1,0
155,2,2,1,95,0,"[1, 1]",1,0
157,32,22,4,887,0,"[4, 3, 2, 3, 4, 3, 4, 3, 4, 4, 2, 4, 3, 1, 3, 2, 2, 2, 4, 3, 4, 4]",4,1
158,1,1,1,38,1,[2],2,0
159,2,2,2,95,0,"[1, 4]",4,1
160,3,3,1,129,0,"[4, 4, 4]",4,1
161,1,1,1,33,1,[3],3,0
162,6,4,1,127,0,"[3, 3, 3, 3]",3,1
163,3,3,1,109,0,"[3, 3, 3]",3,1
164,2,2,1,71,0,"[1, 1]",1,0
165,6,4,2,199,0,"[3, 2, 2, 2]",3,1
166,1,1,1,38,1,[2],2,0
167,5,3,1,124,0,"[3, 3, 3]",3,1
168,48,33,2,1426,0,"[4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",4,1
169,1,1,1,67,1,[2],2,0
170,11,8,2,385,0,"[2, 1, 1, 1, 2, 1, 2, 2]",2,1
171,8,6,2,282,0,"[3, 3, 3, 1, 1, 3]",3,1
172,6,3,1,167,0,"[2, 2, 2]",2,1
173,27,21,3,949,0,"[4, 1, 2, 4, 2, 4, 2, 1, 4, 4, 2, 1, 1, 2, 4, 4, 2, 1, 4, 2, 2]",4,1
174,12,10,1,400,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,1
175,1,1,1,57,1,[2],2,0
176,1,1,1,67,1,[2],2,0
177,3,3,2,124,0,"[1, 1, 4]",1,0
179,3,3,1,171,0,"[2, 2, 2]",2,1
180,1,1,1,33,1,[1],1,0
181,14,11,4,477,0,"[3, 3, 4, 1, 2, 4, 4, 3, 4, 1, 3]",1,0
182,9,8,1,264,0,"[4, 4, 4, 4, 4, 4, 4, 4]",4,1
183,18,16,3,752,0,"[2, 2, 1, 1, 3, 2, 1, 1, 3, 2, 2, 1, 1, 2, 2, 1]",3,1
184,44,36,3,1459,0,"[1, 3, 1, 1, 1, 3, 3, 3, 3, 4, 3, 4, 1, 4, 1, 3, 1, 4, 4, 4, 3, 4, 4, 1, 1, 4, 3, 1, 3, 4, 1, 1, 4, 1, 3, 3]",4,1
185,2,1,1,28,1,[4],4,0
186,10,7,2,225,0,"[3, 3, 3, 4, 4, 3, 4]",4,1
187,9,8,2,284,0,"[3, 4, 4, 4, 4, 3, 3, 3]",4,1
188,17,15,2,676,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1,0
189,1,1,1,38,1,[1],1,0
190,5,4,2,139,0,"[3, 4, 3, 4]",4,1
191,1,1,1,57,1,[3],3,0
192,19,15,3,756,0,"[1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 2, 3, 1, 2, 1]",1,0
193,6,5,2,219,0,"[1, 3, 1, 3, 3]",1,0
194,12,9,3,332,0,"[4, 3, 4, 3, 2, 4, 3, 3, 4]",2,1
195,7,5,3,185,0,"[4, 4, 4, 1, 3]",4,1
196,31,27,3,1118,0,"[3, 2, 4, 4, 4, 3, 3, 3, 4, 3, 2, 4, 2, 3, 2, 3, 2, 3, 3, 4, 2, 3, 3, 4, 2, 3, 2]",4,1
197,7,6,3,271,0,"[2, 1, 1, 2, 3, 1]",1,0
198,5,5,3,234,0,"[3, 2, 4, 2, 3]",4,1
199,1,1,1,48,1,[3],3,0
200,6,6,2,254,0,"[1, 1, 1, 3, 1, 1]",3,1
201,29,22,4,859,0,"[3, 3, 2, 1, 3, 2, 2, 2, 1, 4, 2, 1, 3, 1, 2, 3, 2, 4, 4, 3, 3, 3]",2,1
202,4,3,1,171,0,"[2, 2, 2]",2,1
203,3,2,1,76,0,"[2, 2]",2,1
204,1,1,1,28,1,[3],3,0
205,2,2,1,95,0,"[2, 2]",2,1
206,10,8,2,376,0,"[2, 1, 1, 2, 2, 2, 2, 2]",1,0
207,11,10,4,414,0,"[3, 1, 4, 3, 3, 3, 2, 3, 3, 3]",3,1
208,1,1,1,38,1,[1],1,0
209,1,1,1,62,1,[1],1,0
210,10,8,2,322,0,"[2, 1, 1, 1, 1, 1, 1, 1]",2,1
211,19,15,3,656,0,"[1, 1, 1, 1, 3, 1, 3, 2, 3, 1, 1, 2, 1, 1, 3]",3,1
212,25,20,3,735,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 3, 3]",4,1
213,10,9,4,423,0,"[1, 1, 1, 4, 3, 4, 2, 1, 1]",2,1
214,6,5,1,252,0,"[2, 2, 2, 2, 2]",2,1
215,6,4,2,157,0,"[2, 2, 2, 4]",2,1
216,6,5,1,236,0,"[1, 1, 1, 1, 1]",1,0
217,7,6,1,295,0,"[1, 1, 1, 1, 1, 1]",1,0
218,11,9,1,315,0,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",3,1
219,2,2,1,81,0,"[4, 4]",4,1
220,31,25,4,1188,0,"[4, 1, 1, 1, 2, 3, 3, 4, 1, 3, 2, 4, 1, 1, 2, 3, 4, 3, 2, 2, 2, 3, 1, 4, 3]",4,1
221,2,1,1,48,1,[3],3,0
222,9,7,3,300,0,"[4, 1, 1, 2, 4, 1, 1]",1,0
225,6,6,1,222,0,"[3, 3, 3, 3, 3, 3]",3,1
226,4,4,2,176,0,"[2, 3, 3, 2]",2,1
227,1,1,1,52,1,[2],2,0
228,2,2,2,76,0,"[3, 1]",3,1
229,11,8,1,443,0,"[1, 1, 1, 1, 1, 1, 1, 1]",1,0
230,11,9,2,446,0,"[2, 4, 2, 2, 2, 4, 2, 4, 2]",4,1
231,9,7,2,259,0,"[3, 2, 2, 3, 3, 3, 3]",3,1
232,7,6,4,270,0,"[4, 1, 2, 3, 4, 2]",3,1
233,6,5,2,170,0,"[1, 4, 1, 1, 1]",4,1
234,8,8,2,321,0,"[3, 3, 3, 3, 3, 4, 3, 3]",3,1
235,3,3,2,104,0,"[1, 3, 3]",3,1
236,13,11,3,431,0,"[3, 2, 3, 2, 3, 2, 3, 2, 2, 4, 3]",4,1
237,1,1,1,62,1,[1],1,0
238,4,4,3,191,0,"[4, 2, 3, 4]",2,1
239,31,26,3,1038,0,"[3, 3, 3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 2, 4, 2, 2, 4, 2, 4, 2, 4]",3,1
240,3,3,2,138,0,"[2, 3, 2]",2,1
241,1,1,1,38,1,[1],1,0
242,10,8,2,371,0,"[2, 2, 2, 2, 3, 2, 3, 2]",3,1
243,1,1,1,28,1,[4],4,0
244,14,11,2,535,0,"[1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 4]",4,1
245,2,2,2,86,0,"[3, 2]",3,1
246,1,1,1,57,1,[2],2,0
247,16,15,2,610,0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3]",1,0
248,9,9,4,365,0,"[2, 4, 2, 3, 2, 1, 3, 4, 4]",4,1
249,3,3,1,109,0,"[4, 4, 4]",4,1
250,11,9,2,430,0,"[4, 1, 1, 4, 1, 1, 1, 4, 1]",4,1
251,2,2,1,124,0,"[2, 2]",2,1
252,1,1,1,62,1,[2],2,0
253,25,16,3,763,0,"[3, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",1,0
254,17,15,1,708,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0
255,2,1,1,28,1,[3],3,0
256,2,2,1,109,0,"[3, 3]",3,1
257,9,5,3,205,0,"[2, 3, 1, 1, 3]",3,1
258,2,2,1,119,0,"[2, 2]",2,1
261,13,10,2,500,0,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2]",3,1
262,12,11,2,484,0,"[1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4]",4,1
263,2,1,1,62,1,[1],1,0
264,12,9,1,322,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",4,1
266,5,5,2,195,0,"[4, 4, 2, 2, 4]",2,1
267,15,12,3,499,0,"[2, 4, 2, 4, 2, 4, 3, 3, 4, 4, 2, 4]",4,1
268,4,3,2,109,0,"[4, 4, 3]",3,1
269,2,1,1,43,1,[2],2,0
270,7,5,2,224,0,"[2, 4, 4, 2, 4]",4,1
271,5,3,2,119,0,"[1, 3, 1]",3,1
272,1,1,1,43,1,[1],1,0
273,17,16,4,746,0,"[2, 2, 1, 3, 1, 3, 3, 2, 1, 2, 3, 4, 1, 2, 4, 2]",4,1
274,1,1,1,82,1,[1],1,0
275,16,14,3,633,0,"[2, 2, 2, 2, 4, 4, 2, 4, 2, 2, 2, 4, 3, 2]",2,1
276,4,4,2,166,0,"[1, 4, 4, 4]",1,0
277,29,20,4,807,0,"[4, 3, 4, 4, 4, 2, 3, 4, 4, 2, 3, 4, 4, 4, 1, 3, 4, 4, 4, 2]",4,1
278,21,14,2,697,0,"[1, 1, 1, 3, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1]",3,1
279,20,18,3,701,0,"[1, 4, 4, 4, 4, 2, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 2]",2,1
281,10,9,1,451,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",2,1
282,6,5,2,243,0,"[4, 2, 2, 4, 4]",4,1
283,2,2,2,81,0,"[1, 3]",1,0
285,1,1,1,57,1,[2],2,0
286,2,2,2,81,0,"[4, 1]",4,1
287,12,11,3,504,0,"[3, 3, 2, 2, 1, 3, 3, 3, 3, 2, 1]",3,1
288,2,2,2,124,0,"[2, 3]",2,1
289,3,3,3,153,0,"[1, 3, 4]",4,1
290,5,4,1,117,0,"[4, 4, 4, 4]",4,1
291,6,5,3,170,0,"[4, 1, 4, 3, 4]",4,1
292,45,39,3,1681,0,"[1, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 1, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 2, 1, 1, 3, 2]",1,0
293,1,1,1,55,1,[3],3,0
294,4,3,2,138,0,"[2, 3, 2]",3,1
295,10,7,3,218,0,"[4, 1, 3, 3, 3, 1, 1]",3,1
296,7,5,2,190,0,"[1, 4, 4, 1, 4]",1,0
297,1,1,1,48,1,[3],3,0
298,1,1,1,38,1,[4],4,0
299,4,3,2,152,0,"[2, 3, 2]",3,1
300,3,1,1,62,1,[1],1,0
301,12,8,4,254,0,"[1, 4, 3, 3, 2, 1, 2, 1]",4,1
302,2,2,1,46,0,"[4, 4]",4,1
303,1,1,1,18,1,[3],3,0
304,7,6,2,275,0,"[4, 2, 2, 2, 2, 4]",2,1
305,15,11,3,484,0,"[1, 2, 2, 4, 2, 2, 1, 2, 4, 1, 2]",4,1
306,4,4,1,167,0,"[4, 4, 4, 4]",4,1
307,8,7,3,294,0,"[2, 2, 3, 3, 1, 2, 1]",3,1
308,1,1,1,33,1,[4],4,0
309,1,1,1,38,1,[1],1,0
310,9,7,1,366,0,"[2, 2, 2, 2, 2, 2, 2]",2,1
311,1,1,1,52,1,[2],2,0
312,3,3,2,114,0,"[4, 3, 4]",3,1
313,1,1,1,62,1,[1],1,0
314,12,9,3,427,0,"[4, 4, 4, 4, 1, 1, 4, 1, 3]",4,1
316,5,5,2,183,0,"[1, 1, 3, 3, 3]",1,0
317,1,1,1,28,1,[1],1,0
318,1,1,1,48,1,[4],4,0
319,2,2,1,81,0,"[3, 3]",3,1
320,10,7,4,300,0,"[3, 3, 4, 1, 2, 4, 4]",4,1
321,24,23,4,997,0,"[4, 4, 2, 3, 1, 1, 3, 2, 4, 3, 4, 4, 2, 2, 4, 4, 4, 3, 4, 3, 4, 4, 4]",4,1
323,1,1,1,33,1,[1],1,0
324,7,6,2,239,0,"[2, 3, 3, 3, 2, 2]",3,1
325,11,10,3,437,0,"[1, 1, 1, 1, 3, 2, 2, 3, 2, 3]",1,0
326,9,8,4,337,0,"[3, 1, 3, 2, 3, 4, 4, 4]",3,1
327,14,12,2,469,0,"[1, 4, 1, 4, 4, 1, 1, 4, 1, 4, 1, 1]",4,1
328,3,3,2,177,0,"[3, 1, 1]",1,0
329,4,3,2,156,0,"[3, 3, 1]",3,1
330,8,6,4,261,0,"[1, 1, 3, 1, 4, 2]",2,1
331,8,6,2,242,0,"[4, 4, 2, 2, 4, 4]",4,1
332,12,11,2,492,0,"[3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1]",1,0
333,3,3,1,196,0,"[2, 2, 2]",2,1
334,6,4,2,153,0,"[3, 3, 3, 2]",2,1
335,7,7,2,319,0,"[2, 2, 4, 2, 4, 4, 4]",4,1
336,8,6,3,264,0,"[4, 3, 3, 2, 3, 4]",2,1
337,7,7,2,352,0,"[1, 1, 2, 1, 2, 1, 1]",2,1
338,1,1,1,52,1,[2],2,0
339,5,3,2,172,0,"[2, 1, 2]",1,0
340,3,3,1,172,0,"[2, 2, 2]",2,1
341,16,11,2,491,0,"[1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 4]",4,1
342,32,28,3,1097,0,"[4, 4, 4, 2, 1, 1, 1, 1, 2, 2, 4, 4, 2, 1, 4, 4, 1, 4, 4, 4, 4, 2, 4, 4, 4, 2, 1, 4]",1,0
343,5,4,1,147,0,"[4, 4, 4, 4]",4,1
344,4,4,2,210,0,"[3, 3, 1, 3]",3,1
345,8,7,2,276,0,"[3, 3, 3, 3, 1, 3, 1]",3,1
347,4,3,2,172,0,"[3, 1, 1]",1,0
348,8,8,3,289,0,"[4, 3, 4, 1, 4, 4, 4, 3]",4,1
349,1,1,1,28,1,[1],1,0
350,4,3,2,108,0,"[2, 4, 4]",2,1
351,1,1,1,43,1,[1],1,0
352,1,1,1,57,1,[2],2,0
353,2,2,2,81,0,"[3, 2]",2,1
354,1,1,1,43,1,[4],4,0
355,6,6,2,302,0,"[1, 2, 1, 1, 1, 1]",2,1
356,3,3,2,119,0,"[1, 4, 4]",4,1
357,6,4,1,142,0,"[4, 4, 4, 4]",4,1
358,7,5,2,175,0,"[3, 1, 1, 1, 3]",3,1
359,1,1,1,28,1,[1],1,0
360,27,18,3,805,0,"[2, 3, 3, 2, 1, 3, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 1, 3]",3,1
361,1,1,1,43,1,[1],1,0
362,2,2,1,71,0,"[4, 4]",4,1
363,6,6,2,272,0,"[1, 1, 1, 1, 4, 1]",4,1
364,6,3,2,128,0,"[1, 1, 4]",1,0
365,10,8,2,308,0,"[4, 4, 4, 4, 1, 4, 1, 1]",4,1
366,6,5,2,223,0,"[2, 2, 3, 2, 3]",2,1
367,4,4,1,234,0,"[2, 2, 2, 2]",2,1
368,1,1,1,38,1,[1],1,0
369,4,4,2,184,0,"[1, 1, 4, 4]",4,1
370,9,8,1,274,0,"[4, 4, 4, 4, 4, 4, 4, 4]",4,1
371,5,5,2,209,0,"[2, 4, 4, 4, 2]",4,1
372,6,5,1,286,0,"[2, 2, 2, 2, 2]",2,1
373,1,1,1,28,1,[4],4,0
374,2,1,1,57,1,[2],2,0
375,12,10,4,486,0,"[2, 4, 4, 4, 1, 1, 1, 2, 3, 1]",1,0
376,3,3,2,124,0,"[2, 1, 2]",2,1
377,4,4,3,142,0,"[4, 3, 2, 4]",3,1
378,2,1,1,38,1,[4],4,0
379,1,1,1,38,1,[1],1,0
380,8,7,2,299,0,"[3, 1, 1, 1, 3, 1, 1]",3,1
381,9,7,3,277,0,"[1, 2, 1, 3, 3, 2, 3]",3,1
382,22,21,3,973,0,"[3, 3, 2, 2, 2, 3, 3, 2, 1, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3]",1,0
383,8,7,4,328,0,"[3, 1, 1, 2, 2, 4, 1]",4,1
384,3,2,1,76,0,"[2, 2]",2,1
385,1,1,1,62,1,[1],1,0
386,10,10,4,436,0,"[4, 1, 3, 3, 3, 2, 2, 1, 2, 3]",2,1
387,2,2,1,71,0,"[1, 1]",1,0
389,1,1,1,38,1,[1],1,0
390,1,1,1,38,1,[4],4,0
391,17,15,3,732,0,"[2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 1]",3,1
392,2,2,1,95,0,"[1, 1]",1,0
393,1,1,1,50,1,[3],3,0
394,6,6,3,261,0,"[4, 1, 1, 1, 1, 2]",4,1
395,9,8,3,361,0,"[2, 1, 3, 1, 3, 3, 3, 2]",1,0
396,1,1,1,57,1,[3],3,0
397,6,4,1,210,0,"[1, 1, 1, 1]",1,0
399,1,1,1,43,1,[3],3,0
400,1,1,1,52,1,[2],2,0
402,1,1,1,43,1,[1],1,0
403,1,1,1,38,1,[1],1,0
405,1,1,1,62,1,[1],1,0
406,1,1,1,48,1,[3],3,0
407,1,1,1,67,1,[2],2,0
408,15,12,3,615,0,"[3, 1, 1, 1, 2, 2, 1, 3, 2, 3, 1, 2]",1,0
409,1,1,1,48,1,[3],3,0
410,1,1,1,38,1,[1],1,0
411,7,7,1,334,0,"[1, 1, 1, 1, 1, 1, 1]",1,0
412,1,1,1,62,1,[1],1,0
413,3,3,2,128,0,"[1, 2, 2]",2,1
414,4,3,2,136,0,"[1, 3, 1]",1,0
415,4,4,1,228,0,"[2, 2, 2, 2]",2,1
416,14,9,4,481,0,"[1, 2, 3, 4, 1, 1, 1, 1, 3]",4,1
417,31,22,2,1000,0,"[4, 4, 1, 4, 1, 1, 4, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 4, 4, 1]",4,1
418,2,2,1,76,0,"[2, 2]",2,1
419,2,2,1,122,0,"[1, 1]",1,0
420,26,22,3,1002,0,"[3, 3, 1, 1, 3, 1, 1, 2, 3, 2, 3, 2, 2, 2, 1, 3, 1, 3, 1, 2, 1, 2]",2,1
421,4,3,1,148,0,"[1, 1, 1]",1,0
422,14,12,3,502,0,"[2, 2, 2, 4, 4, 2, 4, 1, 4, 4, 4, 4]",4,1
423,6,5,1,182,0,"[3, 3, 3, 3, 3]",3,1
